플레이어:가위vs바위:컴퓨터 패배
승리:0/5 , 패배:1 , 비김:0플레이어:바위vs바위:컴퓨터 비김
승리:0/5 , 패배:1 , 비김:1플레이어:보vs바위:컴퓨터 승리
승리:1/5 , 패배:1 , 비김:1플레이어:가위vs보:컴퓨터 승리
승리:2/5 , 패배:1 , 비김:1플레이어:가위vs바위:컴퓨터 패배
승리:2/5 , 패배:2 , 비김:1플레이어:가위vs보:컴퓨터 승리
승리:3/5 , 패배:2 , 비김:1플레이어:바위vs바위:컴퓨터 비김
승리:3/5 , 패배:2 , 비김:2플레이어:보vs보:컴퓨터 비김
승리:3/5 , 패배:2 , 비김:3플레이어:바위vs보:컴퓨터 패배
승리:3/5 , 패배:3 , 비김:3플레이어:바위vs바위:컴퓨터 비김
승리:3/5 , 패배:3 , 비김:4플레이어:가위vs바위:컴퓨터 패배
승리:3/5 , 패배:4 , 비김:4플레이어:바위vs바위:컴퓨터 비김
승리:3/5 , 패배:4 , 비김:5플레이어:바위vs보:컴퓨터 패배
승리:3/5 , 패배:5 , 비김:5플레이어:바위vs보:컴퓨터 패배
승리:3/5 , 패배:6 , 비김:5플레이어:보vs보:컴퓨터 비김
승리:3/5 , 패배:6 , 비김:6플레이어:바위vs보:컴퓨터 패배
승리:3/5 , 패배:7 , 비김:6플레이어:바위vs바위:컴퓨터 비김
승리:3/5 , 패배:7 , 비김:7플레이어:가위vs보:컴퓨터 승리
승리:4/5 , 패배:7 , 비김:7플레이어:가위vs보:컴퓨터 승리
승리:5/5 , 패배:7 , 비김:7